Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Franklin India Small Cap Dir Gr	Direct Plan	Small-Cap	3.0		-0.35%	-9.65%	-10.81%	-11.73%	-11.77%	-3.68%	-0.02%	15.97%	17.58%	15.42%
Tata Infrastructure Dir Gr	Direct Plan	Equity - Infrastructure	3.0		0.22%	-10.67%	-8.22%	-9.92%	-8.96%	-2.67%	-3.54%	15.96%	17.01%	15.02%
Franklin India Flexi Cap Dir Gr	Direct Plan	Flexi Cap	4.0		-0.44%	-11.01%	-12.32%	-9.20%	-12.97%	-4.09%	2.67%	15.91%	14.29%	13.84%
Taurus Infrastructure Dir Gr	Direct Plan	Equity - Infrastructure	2.0		-1.65%	-10.44%	-13.95%	-13.31%	-13.95%	-3.73%	-1.72%	15.87%	13.27%	14.27%
Tata Business Cycle Dir Gr	Direct Plan	Equity - Other			-0.19%	-10.70%	-12.09%	-9.84%	-13.07%	-4.51%	-0.39%	15.87%		
LIC MF Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-2.78%	-11.17%	-12.80%	-9.84%	-12.80%	-4.71%	5.52%	15.87%	13.45%	15.49%
UTI Mid Cap Dir Gr	Direct Plan	Mid-Cap	3.0		0.30%	-10.69%	-11.15%	-9.24%	-12.11%	0.09%	3.92%	15.80%	13.66%	14.55%
ICICI Pru L/T Wealth Enhmnt Dir Gr	Direct Plan	ELSS (Tax Savings)			-2.17%	-9.91%	-14.86%	-11.71%	-14.86%	-1.24%	2.52%	15.78%	15.00%	
Baroda BNP P Lrg & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-2.66%	-10.98%	-13.45%	-7.80%	-13.45%	-2.86%	1.91%	15.76%	14.89%	
UTI Small Cap Dir Gr	Direct Plan	Small-Cap	3.0		-1.38%	-8.77%	-12.76%	-12.08%	-12.76%	-3.10%	5.19%	15.75%	16.47%	
ICICI Pru Global Advtg(FOF) Dir Gr	Direct Plan	Global - Other			-0.20%	-9.68%	-2.02%	0.47%	-2.02%	20.57%	19.82%	15.71%	7.72%	
DSP Nifty 50 Equal Weight Index Dir Gr	Direct Plan	Index Funds			-0.18%	-10.68%	-10.45%	-6.25%	-11.27%	1.73%	3.05%	15.71%	13.83%	
Invesco India Pan Euro Eq FoF Dir Gr	Direct Plan	Global - Other			0.49%	-8.82%	1.15%	10.66%	1.39%	28.83%	16.33%	15.70%	13.01%	10.28%
Sundaram Fin Services Opp Dir Gr	Direct Plan	Sector - Financial Services	5.0		-1.98%	-15.20%	-13.99%	-6.14%	-14.80%	-0.63%	4.41%	15.70%	13.31%	15.36%
SBI Long Term Advnt Fd Series III Dir Gr	Direct Plan	ELSS (Tax Savings)			1.05%	-5.98%	-5.54%	-3.44%	-6.49%	-2.61%	3.08%	15.70%	15.69%	
Aditya BSL Intl Equity Dir Gr	Direct Plan	Global - Other			-2.51%	-5.49%	-3.43%	0.56%	-2.89%	23.11%	16.87%	15.65%	10.47%	11.77%
ICICI Pru Nifty 50 Eql Weight Dir Gr	Direct Plan	Index Funds			-0.17%	-10.67%	-10.46%	-6.28%	-11.27%	1.76%	3.03%	15.60%		
Kotak Focused Dir Gr	Direct Plan	Focused Fund	4.0		-2.49%	-11.60%	-11.81%	-5.71%	-11.81%	5.02%	6.80%	15.59%	13.54%	
Sundaram LT Mic capTax Ad Sr V Dir Gr	Direct Plan	ELSS (Tax Savings)			1.01%	-9.35%	-12.01%	-10.99%	-13.15%	2.68%	3.02%	15.58%	19.33%	
Franklin India ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-0.55%	-10.87%	-12.89%	-10.17%	-13.48%	-5.39%	1.91%	15.55%	13.89%	13.13%
DSP Large cap Dir Gr	Direct Plan	Large-Cap	3.0		-0.49%	-10.82%	-12.29%	-8.92%	-12.95%	-4.64%	5.04%	15.55%	11.62%	12.11%
