Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Samco Mid Cap Dir Gr	Direct Plan	Mid Cap Fund			0.45%	-11.68%								
TRUSTMF Mid Cap Dir Gr	Direct Plan	Mid Cap Fund			-2.00%									
Bandhan Small Cap Dir Gr	Direct Plan	Small Cap Fund	5.0		-0.52%	-9.28%	-11.39%	-11.31%	-12.28%	1.02%	10.16%	28.31%	22.14%	
ITI Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		0.96%	-8.02%	-9.87%	-9.82%	-10.94%	-0.43%	5.42%	23.14%	17.05%	
Mahindra Manulife Small Cap Dir Gr	Direct Plan	Small Cap Fund	5.0		1.04%	-7.33%	-10.17%	-9.04%	-11.37%	1.54%	4.20%	22.76%		
Invesco India Smallcap Dir Gr	Direct Plan	Small Cap Fund	5.0		0.37%	-10.45%	-10.90%	-9.68%	-11.76%	1.26%	7.84%	22.36%	20.95%	
Union Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		2.13%	-8.40%	-5.92%	-5.78%	-6.91%	7.05%	7.16%	19.36%	17.83%	16.12%
Bank of India Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		1.00%	-7.60%	-8.43%	-10.49%	-9.63%	-1.83%	4.47%	18.75%	19.01%	
Nippon India Small Cap Dir Gr	Direct Plan	Small Cap Fund	5.0		-0.08%	-9.52%	-10.74%	-11.22%	-11.68%	-1.40%	2.67%	18.73%	21.11%	20.80%
DSP Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		0.56%	-10.02%	-9.21%	-8.53%	-10.35%	3.60%	6.72%	18.69%	18.38%	16.59%
Quant Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		-0.44%	-7.16%	-12.10%	-11.94%	-13.31%	-3.42%	-1.36%	18.45%	23.06%	18.12%
Edelweiss Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		1.00%	-9.63%	-11.47%	-10.26%	-12.33%	0.24%	4.36%	18.43%	18.67%	
Sundaram Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		1.03%	-10.03%	-11.39%	-10.55%	-12.54%	2.06%	3.11%	17.70%	17.77%	14.63%
Aditya BSL Small Cap Dir Gr	Direct Plan	Small Cap Fund	1.0		0.50%	-9.21%	-9.10%	-7.89%	-9.80%	1.74%	3.68%	17.27%	13.52%	13.52%
Axis Small Cap Fund Dir Gr	Direct Plan	Small Cap Fund	4.0		0.43%	-8.72%	-10.28%	-10.35%	-11.06%	-1.73%	4.99%	16.45%	17.83%	18.77%
UTI Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		1.02%	-8.77%	-11.77%	-12.08%	-12.76%	-3.10%	5.19%	16.25%	16.66%	
Franklin India Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		-0.35%	-9.65%	-10.81%	-11.73%	-11.77%	-3.68%	-0.02%	15.97%	17.58%	15.42%
LIC MF Small Cap Fund Dir Gr	Direct Plan	Small Cap Fund	3.0		0.37%	-8.64%	-10.71%	-13.08%	-11.65%	-5.10%	3.50%	15.96%	17.33%	
HDFC Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		-0.49%	-11.51%	-13.21%	-14.89%	-14.26%	-1.59%	1.17%	15.51%	18.66%	18.01%
Sundaram LT Mic capTax Ad Sr VI Dir Gr	Direct Plan	Small Cap Fund			1.22%	-9.13%	-11.86%	-11.32%	-13.06%	2.09%	2.13%	15.17%	20.20%	
HSBC Small Cap Fund Dir Gr	Direct Plan	Small Cap Fund	4.0		1.15%	-9.85%	-12.16%	-13.42%	-13.09%	-5.42%	-0.15%	14.69%	18.97%	18.27%
Canara Robeco Small Cap Dir Gr	Direct Plan	Small Cap Fund	4.0		1.41%	-9.93%	-11.49%	-11.45%	-12.46%	-1.32%	2.37%	14.32%	18.56%	
PGIM India Small Cap Dir Gr	Direct Plan	Small Cap Fund	2.0		1.25%	-7.97%	-9.97%	-10.60%	-10.81%	1.25%	5.31%	13.97%		
ICICI Pru Smallcap Dir Gr	Direct Plan	Small Cap Fund	3.0		-0.27%	-11.45%	-12.16%	-13.57%	-13.14%	-2.26%	1.03%	13.95%	16.71%	16.06%
Kotak Small Cap Dir Gr	Direct Plan	Small Cap Fund	3.0		0.14%	-10.47%	-11.42%	-13.62%	-12.43%	-6.66%	1.30%	13.31%	14.32%	17.07%
SBI Small Cap Fund Dir Gr	Direct Plan	Small Cap Fund	3.0		0.15%	-8.33%	-11.76%	-12.64%	-12.59%	-5.14%	0.46%	12.16%	14.33%	18.02%
Tata Small Cap Fund Dir Gr	Direct Plan	Small Cap Fund	2.0		-0.23%	-11.47%	-16.08%	-22.74%	-17.44%	-15.44%	-2.08%	10.71%	16.65%	
TrustMF Small Cap Dir Gr	Direct Plan	Small Cap Fund			1.64%	-7.63%	-8.31%	-4.52%	-8.98%	5.98%				
Mirae Asset Small Cap Dir Gr	Direct Plan	Small Cap Fund			0.68%	-9.06%	-11.03%	-9.28%	-11.88%	4.13%				
Quantum Small Cap Dir Gr	Direct Plan	Small Cap Fund			0.00%	-11.09%	-12.27%	-10.95%	-13.21%	0.80%	4.09%			
Baroda BNP Paribas Small Cap Dir Gr	Direct Plan	Small Cap Fund			1.95%	-6.88%	-9.22%	-8.80%	-9.88%	-0.21%	2.02%			
Motilal Oswal Small Cap Dir Gr	Direct Plan	Small Cap Fund			0.26%	-9.30%	-11.51%	-10.74%	-12.39%	-0.99%	9.55%			
JM Small Cap Dir Gr	Direct Plan	Small Cap Fund			0.26%	-10.99%	-13.72%	-15.58%	-14.71%	-6.76%				
Abakkus Small Cap Dir Gr	Direct Plan	Small Cap Fund			-0.65%									
Bajaj Finserv Small Cap Dir Gr	Direct Plan	Small Cap Fund			1.19%	-10.06%	-11.06%	-10.32%	-12.07%					
Groww Small Cap Dir Gr	Direct Plan	Small Cap Fund			-0.06%	-9.03%								
Helios Small Cap Dir Gr	Direct Plan	Small Cap Fund			0.96%	-9.15%	-13.35%		-14.14%					
Samco Small Cap Dir Gr	Direct Plan	Small Cap Fund			1.45%	-7.16%	-8.57%		-9.57%					
The Wealth Company Small Cap Dirt Gr	Direct Plan	Small Cap Fund												
Kotak Multicap Dir Gr	Direct Plan	Multi Cap Fund	5.0		-0.46%	-11.22%	-12.47%	-8.45%	-13.15%	3.44%	4.77%	21.93%		
Axis Multicap Dir Gr	Direct Plan	Multi Cap Fund	5.0		0.12%	-10.32%	-10.65%	-9.26%	-11.50%	-0.82%	6.73%	21.03%		
HSBC Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	5.0		0.25%	-10.46%	-10.90%	-8.60%	-11.72%	1.19%	4.36%	20.68%		
Bank of India Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.35%	-8.29%	-9.54%	-3.90%	-10.38%	4.35%	6.42%	20.28%		
Mahindra Manulife Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	4.0		0.41%	-9.61%	-9.34%	-5.79%	-10.18%	2.41%	5.28%	19.38%	17.78%	
Nippon India Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	4.0		-0.64%	-10.46%	-10.80%	-10.17%	-11.54%	-0.64%	5.00%	19.12%	19.73%	15.71%
ITI Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	3.0		0.06%	-10.16%	-10.26%	-6.03%	-11.20%	3.32%	2.35%	18.55%	12.94%	
LIC MF Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	4.0		-0.42%	-11.50%	-12.19%	-9.91%	-13.07%	-0.50%	7.79%	18.50%		
ICICI Pru Multicap Dir Gr	Direct Plan	Multi Cap Fund	4.0		0.07%	-10.78%	-10.15%	-7.62%	-11.14%	-1.85%	3.87%	17.71%	15.77%	15.08%
Union Multicap Dir Gr	Direct Plan	Multi Cap Fund	3.0		0.60%	-10.41%	-10.04%	-7.38%	-10.83%	1.41%	5.19%	17.51%		
HDFC Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	3.0		-0.42%	-10.87%	-12.79%	-10.93%	-13.63%	-2.77%	2.47%	17.14%		
Baroda BNP P Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	3.0		0.69%	-9.15%	-11.34%	-8.91%	-11.88%	-2.61%	3.30%	16.77%	15.22%	14.61%
Sundaram Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	4.0		-0.03%	-11.55%	-13.26%	-11.30%	-14.26%	-3.18%	3.59%	15.43%	14.30%	15.17%
SBI Multicap Dir Gr	Direct Plan	Multi Cap Fund	3.0		-0.18%	-9.37%	-11.53%	-11.29%	-12.14%	-4.69%	5.34%	15.34%		
Aditya BSL Multi-Cap Dir Gr	Direct Plan	Multi Cap Fund	3.0		0.00%	-10.38%	-11.32%	-9.34%	-11.99%	-1.38%	3.59%	15.33%		
Bandhan Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	3.0		-0.77%	-11.22%	-13.08%	-10.10%	-13.88%	-2.48%	2.82%	15.03%		
Invesco India Multicap Dir Gr	Direct Plan	Multi Cap Fund	2.0		-0.24%	-11.59%	-14.03%	-14.85%	-14.70%	-9.09%	0.79%	14.18%	13.04%	14.22%
Tata Multicap Dir Gr	Direct Plan	Multi Cap Fund	1.0		-0.17%	-10.43%	-11.14%	-7.02%	-11.90%	2.48%	2.26%	12.05%		
Quant Multi Cap Dir Gr	Direct Plan	Multi Cap Fund	4.0		-0.47%	-7.48%	-11.24%	-11.46%	-11.67%	-7.17%	-5.79%	10.97%	13.76%	17.06%
Groww Multicap Dir Gr	Direct Plan	Multi Cap Fund			0.43%	-10.68%	-10.23%	-7.05%	-10.85%	7.61%				
WhiteOak Capital Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.49%	-9.51%	-11.74%	-8.85%	-12.54%	1.97%	8.02%			
